M00037	Melatonin biosynthesis, animals, tryptophan => serotonin => melatonin	K00502 K01593 K00669 K00543
M00038	Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate	K00453 K00463 K01432 K14263 K07130 K00486 K01556 K00452 K03392 K10217 K23234
M00039	Monolignol biosynthesis, phenylalanine/tyrosine => monolignol	K10775 K13064 K00487 K01904 K13065 K09754 K00588 K09753 K09755 K13066 K00083 K22395
M00040	Tyrosine biosynthesis, chorismate => arogenate => tyrosine	K01850 K04092 K14170 K00832 K15849 K00220 K24018 K15227
M00042	Catecholamine biosynthesis, tyrosine => dopamine => noradrenaline => adrenaline	K00505 K00501 K01593 K00503 K00553
M00043	Thyroid hormone biosynthesis, tyrosine => triiodothyronine/thyroxine	K00431
M00044	Tyrosine degradation, tyrosine => homogentisate	K00815 K00838 K00832 K03334 K00457 K00451 K01800 K01555 K16171
M00045	Histidine degradation, histidine => N-formiminoglutamate => glutamate	K01745 K01712 K01468 K01479 K00603 K13990 K05603 K01458
M00046	Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate	K00207 K17722 K17723 K01464 K01431 K06016
M00047	Creatine pathway	K00613 K00542 K00933
M00048	Inosine monophosphate biosynthesis, PRPP + glutamine => IMP	K00764 K01945 K11787 K11788 K13713 K00601 K11175 K08289 K11787 K01492 K01952 K23269 K23264 K23265 K23270 K23265 K01933 K11787 K11788 K01587 K11808 K01589 K01588 K01923 K01587 K13713 K01756 K00602 K01492 K06863 K11176
M00049	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	K01939 K01756 K00939 K18532 K18533 K00944 K00940
M00050	Guanine ribonucleotide biosynthesis, IMP => GDP,GTP	K00088 K01951 K00942 K00940 K18533
M00051	Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	K11540 K11541 K01465 K01954 K01955 K01956 K00609 K00610 K00608 K01465 K00226 K00254 K17828 K13421 K00762 K01591
M00052	Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP	K13800 K13809 K09903 K00940 K18533 K01937
M00053	Pyrimidine deoxyribonucleotide biosynthesis, CDP => dCTP	K00525 K00526 K10807 K10808 K00940 K18533
M00055	N-glycan precursor biosynthesis	K01001 K07432 K07441 K03842 K03843 K03844 K03845 K03846 K03847 K03846 K00729 K03848 K03849 K03850
M00056	O-glycan biosynthesis, mucin type core	K00710 K00731 K09653 K00727 K09662 K09663 K00739
M00057	Glycosaminoglycan biosynthesis, linkage tetrasaccharide	K00771 K00733 K00734 K10158
M00058	Glycosaminoglycan biosynthesis, chondroitin sulfate backbone	K00746 K13499 K00747 K03419
M00059	Glycosaminoglycan biosynthesis, heparan sulfate backbone	K02369 K02370 K02366 K02367 K02368 K02370 K02576 K02577 K02578 K02579 K01793
M00060	KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type	K00677 K02535 K02536 K03269 K09949 K00748 K00912 K02527 K02517 K02560
M00061	D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P	K01812 K00040 K01686 K08323 K00874 K01625 K17463
M00063	CMP-KDO biosynthesis	K06041 K01627 K03270 K00979
M00064	ADP-L-glycero-D-manno-heptose biosynthesis	K03271 K03272 K21344 K03273 K03272 K21345 K03274
M00065	GPI-anchor biosynthesis, core oligosaccharide	K03857 K03859 K03858 K03861 K03860 K11001 K11002 K09658 K03434 K05283 K05284 K07541 K07542 K05285 K05286 K05288 K05287 K05310 K05287
M00066	Lactosylceramide biosynthesis	K00720 K07553 K09905
M00067	Sulfoglycolipids biosynthesis, ceramide/1-alkyl-2-acylglycerol => sulfatide/seminolipid	K04628 K01019
M00068	Glycosphingolipid biosynthesis, globo-series, LacCer => Gb4Cer	K01988 K00719
M00069	Glycosphingolipid biosynthesis, ganglio series, LacCer => GT3	K03370 K03371 K03369
M00070	Glycosphingolipid biosynthesis, lacto-series, LacCer => Lc4Cer	K03766 K07819 K07820 K03877
M00071	Glycosphingolipid biosynthesis, neolacto-series, LacCer => nLc4Cer	K03766 K07966 K07967 K07968 K07969
M00072	N-glycosylation by oligosaccharyltransferase	K07151 K12666 K12667 K12668 K12669 K12670 K00730 K12691
M00073	N-glycan precursor trimming	K01228 K05546 K23741 K01230
M00074	N-glycan biosynthesis, high-mannose type	K05546 K23741 K01230 K05528 K05529 K05530 K05529 K05531 K05532 K05533 K05534 K05535
M00075	N-glycan biosynthesis, complex type	K01231 K00736 K00737 K00738 K00744 K09661 K13748 K00717 K07966 K07967 K07968 K00778 K00779
M00076	Dermatan sulfate degradation	K01136 K01217 K01135 K01197 K01195
M00077	Chondroitin sulfate degradation	K01135 K01197 K01195 K01132
M00078	Heparan sulfate degradation	K07964 K07965 K01136 K01217 K01565 K10532 K01205 K01195 K01137
M00079	Keratan sulfate degradation	K01132 K12309 K01137 K12373
M00081	Pectin degradation	K01051 K01184 K01213
M00082	Fatty acid biosynthesis, initiation	K11262 K02160 K01961 K11263 K01962 K01963 K18472 K00665 K00667 K00668 K11533 K00645 K00648 K18473
M00083	Fatty acid biosynthesis, elongation	K00665 K00667 K00668 K11533 K00647 K09458 K00059 K02372 K01716 K16363 K00208 K02371 K10780 K00209
M00085	Fatty acid elongation in mitochondria	K07508 K07509 K00022 K07511 K07515 K07512
M00086	beta-Oxidation, acyl-CoA synthesis	K01897 K15013
M00087	beta-Oxidation	K00232 K00249 K00255 K06445 K09479 K01692 K07511 K13767 K00022 K07516 K01825 K01782 K07514 K07515 K10527 K00632 K07508 K07509 K07513
M00088	Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone	K00626 K01641 K01640 K00019 K01574
M00089	Triacylglycerol biosynthesis	K00629 K13506 K13507 K00630 K13508 K00655 K13509 K13523 K19007 K13513 K13517 K13519 K14674 K22831 K01080 K15728 K18693 K11155 K11160 K14456 K22848 K22849
M00090	Phosphatidylcholine (PC) biosynthesis, choline => PC	K00866 K14156 K00968 K00994 K13644
M00091	Phosphatidylcholine (PC) biosynthesis, PE => PC	K00551 K16369 K00550 K00570
M00092	Phosphatidylethanolamine (PE) biosynthesis, ethanolamine => PE	K00894 K14156 K00967 K00993 K13644
M00093	Phosphatidylethanolamine (PE) biosynthesis, PA => PS => PE	K00981 K00998 K17103 K01613
M00094	Ceramide biosynthesis	K00654 K04708 K04709 K04710 K24621 K24622 K23727 K04712
M00095	C5 isoprenoid biosynthesis, mevalonate pathway	K00626 K01641 K00021 K00869 K00938 K13273 K01597 K01823
M00096	C5 isoprenoid biosynthesis, non-mevalonate pathway	K01662 K00099 K00991 K12506 K00919 K01770 K12506 K03526 K03527 K01823
M00097	beta-Carotene biosynthesis, GGAP => beta-carotene	K02291 K02293 K15744 K00514 K09835 K06443
M00098	Acylglycerol degradation	K01046 K12298 K16816 K13534 K14073 K14074 K14075 K14076 K22283 K14452 K22284 K14674 K14675 K17900 K01054
M00099	Sphingosine biosynthesis	K00654 K04708 K04709 K04710 K24621 K24622 K23727 K04712 K01441 K12348 K12349
M00100	Sphingosine degradation	K04718 K01634
M00101	Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol	K01852 K05917 K00222 K07750 K07748 K13373 K09828 K01824 K00227 K00213
M00102	Ergocalciferol biosynthesis, squalene 2,3-epoxide => ergosterol/ergocalciferol	K01852 K05917 K00222 K07750 K07748 K09827 K00559 K09829 K00227 K09831 K00223
M00103	Cholecalciferol biosynthesis	K07419 K07438
M00104	Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate	K00489 K12408 K07431 K00251 K00037 K00488 K08748 K01796 K10214 K12405 K08764 K11992
M00106	Conjugated bile acid biosynthesis, cholate => taurocholate/glycocholate	K08748 K00659
M00107	Steroid hormone biosynthesis, cholesterol => prognenolone => progesterone	K00498 K00070
M00108	C21-Steroid hormone biosynthesis, progesterone => corticosterone/aldosterone	K00513 K00497 K07433 K07433
M00109	C21-Steroid hormone biosynthesis, progesterone => cortisol/cortisone	K00512 K00513 K00497 K15680 K00071
M00110	C19/C18-Steroid hormone biosynthesis, pregnenolone => androstenedione => estrone	K00512 K00070 K07434
M00112	Tocopherol/tocotorienol biosynthesis, homogentisate + phytyl/geranylgeranyl-PP => tocopherol/tocotorienol	K09833 K12502 K18534 K09834 K05928
M00113	Jasmonic acid biosynthesis	K00454 K01723 K10525 K05894 K10526 K00232 K10527 K07513
M00114	Ascorbate biosynthesis, plants, fructose-6P => ascorbate	K01809 K17497 K00966 K10046 K14190 K10047 K17744 K00225
M00115	NAD biosynthesis, aspartate => quinolinate => NAD	K00278 K06989 K03517 K00767 K00969 K06210 K01916 K01950
M00116	Menaquinone biosynthesis, chorismate (+ polyprenyl-PP) => menaquinol	K02552 K02551 K08680 K02549 K01911 K01661 K19222 K02548 K03183
M00117	Ubiquinone biosynthesis, prokaryotes, chorismate (+ polyprenyl-PP) => ubiquinol	K03181 K18240 K03179 K03182 K03186 K18800 K00568 K03185 K03183 K03184 K00568
M00118	Glutathione biosynthesis, glutamate => glutathione	K11204 K11205 K01919 K21456 K01920
M00119	Pantothenate biosynthesis, valine/L-aspartate => pantothenate	K00826 K00606 K00077 K01579 K01918 K13799
M00120	Coenzyme A biosynthesis, pantothenate => CoA	K00867 K03525 K01947 K09680 K01922 K21977 K01598 K13038 K02318 K00954 K02201 K00859
M00121	Heme biosynthesis, plants and bacteria, glutamate => heme	K01885 K02492 K01845 K01698 K01749 K01719 K13542 K13543 K01599 K00228 K02495 K00230 K00231 K08973 K01772
M00122	Cobalamin biosynthesis, cobyrinate a,c-diamide => cobalamin	K00798 K19221 K02232 K02225 K02227 K02231 K00768 K02226 K22316 K02233
M00123	Biotin biosynthesis, pimeloyl-ACP/CoA => biotin	K00652 K00833 K19563 K01935 K19562 K01012
M00124	Pyridoxal-P biosynthesis, erythrose-4P => pyridoxal-P	K03472 K03473 K00831 K00097 K03474 K00275
M00125	Riboflavin biosynthesis, plants and bacteria, GTP => riboflavin/FMN/FAD	K01497 K14652 K01498 K00082 K11752 K22912 K20860 K20861 K20862 K21063 K21064 K02858 K14652 K00794 K00793 K20884 K22949 K11753
M00126	Tetrahydrofolate biosynthesis, GTP => THF	K01495 K09007 K22391 K01077 K01113 K08310 K19965 K13939 K13940 K01633 K00950 K00796 K01633 K13941 K11754 K20457 K00287 K13998
M00127	Thiamine biosynthesis, prokaryotes, AIR (+ DXP/tyrosine) => TMP/TPP	K03148 K03154 K03151 K03150 K03149 K03147 K00941 K00788 K14153 K21219 K00946
M00128	Ubiquinone biosynthesis, eukaryotes, 4-hydroxybenzoate + polyprenyl-PP => ubiquinol	K06125 K06126 K00591 K06127 K06134 K00591
M00129	Ascorbate biosynthesis, animals, glucose-1P => ascorbate	K00963 K00012 K00699 K01195 K00002 K01053 K00103
M00130	Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4	K00888 K19801 K13711 K00889 K13712 K01116 K05857 K05858 K05859 K05860 K05861 K00911
M00131	Inositol phosphate metabolism, Ins(1,3,4,5)P4 => Ins(1,3,4)P3 => myo-inositol	K01106 K01107 K01109 K01092
M00132	Inositol phosphate metabolism, Ins(1,3,4)P3 => phytate	K00913 K01765 K00915 K10572
M00133	Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine	K01583 K01584 K01585 K02626 K01480 K01611 K00797
M00134	Polyamine biosynthesis, arginine => ornithine => putrescine	K01476 K01581
M00135	GABA biosynthesis, eukaryotes, putrescine => GABA	K00657 K00274 K00128 K14085 K00149
M00136	GABA biosynthesis, prokaryotes, putrescine => GABA	K09470 K09471 K09472 K09473
M00137	Flavanone biosynthesis, phenylalanine => naringenin	K10775 K00487 K01904 K00660 K01859
M00138	Flavonoid biosynthesis, naringenin => pelargonidin	K00475 K13082 K05277
M00140	C1-unit interconversion, prokaryotes	K00600 K01491 K00300 K01500 K01938
M00141	C1-unit interconversion, eukaryotes	K00600 K00288 K13403 K13402
M00142	NADH:ubiquinone oxidoreductase, mitochondria	K03878 K03879 K03880 K03881 K03882 K03883 K03884
M00143	NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria	K03934 K03935 K03936 K03937 K03938 K03939 K03940 K03941 K03942 K03943 K03944
M00144	NADH:quinone oxidoreductase, prokaryotes	K00330 K00331 K00332 K00333 K00331 K13378 K13380 K00334 K00335 K00336 K00337 K00338 K00339 K00340 K00341 K00342 K00343
M00145	NAD(P)H:quinone oxidoreductase, chloroplasts and cyanobacteria	K05574 K05582 K05581 K05579 K05572 K05580 K05578 K05576 K05577 K05575 K05573 K05583 K05584 K05585
M00146	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex	K03945 K03946 K03947 K03948 K03949 K03950 K03951 K03952 K03953 K03954 K03955 K03956 K11352 K11353
M00147	NADH dehydrogenase (ubiquinone) 1 beta subcomplex	K03957 K03958 K03959 K03960 K03961 K03962 K03963 K03964 K03965 K03966 K11351 K03967 K03968
M00148	Succinate dehydrogenase (ubiquinone)	K00236 K00237 K00234 K00235
M00149	Succinate dehydrogenase, prokaryotes	K00241 K00242 K18859 K18860 K00239 K00240
M00150	Fumarate reductase, prokaryotes	K00244 K00245 K00246 K00247
M00151	Cytochrome bc1 complex respiratory unit	K00412 K00413 K00410 K00411 K03886 K03887 K03888 K03890 K03891 K03889
M00152	Cytochrome bc1 complex	K00411 K00412 K00413 K00414 K00415 K00416 K00417 K00418 K00419 K00420
M00153	Cytochrome bd ubiquinol oxidase	K00425 K00426 K00424 K22501
M00154	Cytochrome c oxidase	K02257 K02262 K02256 K02261 K02263 K02264 K02265 K02266 K02267 K02268 K02270 K02271 K02272 K02273 K02258 K02259 K02260
M00155	Cytochrome c oxidase, prokaryotes	K02275 K02274 K02276 K15408 K02277
M00156	Cytochrome c oxidase, cbb3-type	K00404 K00405 K15862 K00407 K00406
M00157	F-type ATPase, prokaryotes and chloroplasts	K02111 K02112 K02113 K02114 K02115 K02108 K02109 K02110
M00158	F-type ATPase, eukaryotes	K02132 K02133 K02136 K02134 K02135 K02137 K02126 K02127 K02128 K02138 K02129 K01549 K02130 K02139 K02140 K02141 K02131 K02142 K02143 K02125
M00159	V/A-type ATPase, prokaryotes	K02117 K02118 K02119 K02120 K02121 K02122 K02107 K02123 K02124
M00160	V-type ATPase, eukaryotes	K02145 K02147 K02148 K02149 K02150 K02151 K02152 K02144 K02154 K03661 K02155 K02146 K02153 K03662
M00161	Photosystem II	K02703 K02706 K02705 K02704 K02707 K02708
M00162	Cytochrome b6f complex	K02635 K02637 K02634 K02636 K02642 K02643 K03689 K02640
M00163	Photosystem I	K02689 K02690 K02691 K02692 K02693 K02694
M00165	Reductive pentose phosphate cycle (Calvin cycle)	K00855 K01601 K01602 K00927 K05298 K00150 K00134 K01623 K01624 K03841 K02446 K11532 K01086 K00615 K01623 K01624 K01100 K11532 K01086 K00615 K01807 K01808
M00166	Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P	K00855 K01601 K01602 K00927 K05298 K00150 K00134
M00167	Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P	K01623 K01624 K03841 K02446 K11532 K01086 K00615 K01623 K01624 K01100 K11532 K01086 K00615 K01807 K01808
M00168	CAM (Crassulacean acid metabolism), dark	K01595 K00025 K00026 K00024
M00169	CAM (Crassulacean acid metabolism), light	K00029 K01006
M00170	C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type	K01595 K14454 K14455 K01610
M00171	C4-dicarboxylic acid cycle, NAD - malic enzyme type	K01595 K14454 K14455 K00025 K00026 K00028 K00814 K14272 K01006
M00172	C4-dicarboxylic acid cycle, NADP - malic enzyme type	K01595 K00051 K00029 K01006
M00173	Reductive citrate cycle (Arnon-Buchanan cycle)	K00169 K00170 K00171 K00172 K03737 K01007 K01006 K01595 K01959 K01960 K01958 K00024 K01676 K01679 K01677 K01678 K00239 K00240 K00241 K00242 K00244 K00245 K00246 K00247 K18556 K18557 K18558 K18559 K18560 K01902 K01903 K00174 K00175 K00177 K00176 K00031 K01681 K01682 K15230 K15231 K15232 K15233 K15234
M00174	Methane oxidation, methanotroph, methane => formaldehyde	K10944 K10945 K10946 K16157 K16158 K16159 K16160 K16161 K16162 K14028 K14029 K23995
M00175	Nitrogen fixation, nitrogen => ammonia	K02588 K02586 K02591 K00531 K22896 K22897 K22898 K22899
M00176	Assimilatory sulfate reduction, sulfate => H2S	K13811 K00958 K00860 K00955 K00957 K00956 K00957 K00860 K00390 K00380 K00381 K00392
M00307	Pyruvate oxidation, pyruvate => acetyl-CoA	K00163 K00161 K00162 K00627 K00382 K13997 K00169 K00170 K00171 K00172 K00189 K03737
M00308	Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P	K05308 K00874 K01625 K00134 K00927 K00131 K18978
M00309	Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate	K05308 K11395 K18127 K18020 K18021 K18022 K18128 K03738
M00338	Cysteine biosynthesis, homocysteine + serine => cysteine	K01697 K10150 K01758
M00344	Formaldehyde assimilation, xylulose monophosphate pathway	K17100 K00863 K01624 K03841
M00345	Formaldehyde assimilation, ribulose monophosphate pathway	K08093 K13812 K08094 K13831 K00850 K16370 K01624
M00346	Formaldehyde assimilation, serine pathway	K00600 K00830 K00018 K11529 K01689 K01595 K00024 K08692 K14067 K08691
M00356	Methanogenesis, methanol => methane	K14080 K04480 K14081 K00399 K00401 K00402 K22480 K22481 K22482 K03388 K03389 K03390 K08264 K08265 K03388 K03389 K03390 K14127 K14126 K14128 K22516 K00125
M00357	Methanogenesis, acetate => methane	K00925 K00625 K01895 K00193 K00197 K00194 K00577 K00578 K00579 K00580 K00581 K00582 K00583 K00584 K00399 K00401 K00402 K22480 K22481 K22482 K03388 K03389 K03390 K08264 K08265 K03388 K03389 K03390 K14127 K14126 K14128 K22516 K00125
M00358	Coenzyme M biosynthesis	K08097 K05979 K05884 K13039 K06034
M00363	EHEC pathogenicity signature, Shiga toxin	K11006 K11007
M00364	C10-C20 isoprenoid biosynthesis, bacteria	K01823 K00795 K13789 K13787
M00365	C10-C20 isoprenoid biosynthesis, archaea	K01823 K13787
M00366	C10-C20 isoprenoid biosynthesis, plants	K01823 K14066 K00787 K13789
M00367	C10-C20 isoprenoid biosynthesis, non-plant eukaryotes	K01823 K00787 K00804
M00368	Ethylene biosynthesis, methionine => ethylene	K00789 K01762 K20772 K05933
M00369	Cyanogenic glycoside biosynthesis, tyrosine => dhurrin	K13027 K13029 K13030
M00370	Glucosinolate biosynthesis, tryptophan => glucobrassicin	K11812 K11813 K11818 K11819 K11820 K11821
M00371	Castasterone biosynthesis, campesterol => castasterone	K09587 K12639 K09588 K09591 K12637 K12638 K20623 K09590 K12640
M00372	Abscisic acid biosynthesis, beta-carotene => abscisic acid	K15746 K15747 K09838 K14594 K09840 K09841 K09842
M00373	Ethylmalonyl pathway	K00626 K00023 K17865 K14446 K14447 K14448 K14449 K08691 K14451 K01965 K01966 K05606 K01847
M00374	Dicarboxylate-hydroxybutyrate cycle	K00169 K00170 K00171 K00172 K01007 K01595 K00024 K01677 K01678 K00239 K00240 K00241 K18860 K01902 K01903 K15038 K15017 K14465 K14467 K18861 K14534 K15016 K00626
M00375	Hydroxypropionate-hydroxybutylate cycle	K01964 K15037 K15036 K15017 K15039 K15018 K15019 K15020 K05606 K01848 K01849 K15038 K15017 K14465 K14466 K18861 K14534 K15016 K00626
M00376	3-Hydroxypropionate bi-cycle	K02160 K01961 K01962 K01963 K14468 K14469 K15052 K05606 K01847 K01848 K01849 K14471 K14472 K00239 K00240 K00241 K01679 K08691 K14449 K14470 K09709
M00377	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)	K00198 K05299 K15022 K22015 K25123 K25124 K01938 K01491 K01500 K00297 K25007 K25008 K15023 K14138 K00197 K00194
M00378	F420 biosynthesis, archaea	K11780 K11781 K14941 K11212 K12234
M00415	Fatty acid elongation in endoplasmic reticulum	K10247 K10205 K10248 K10249 K10244 K10203 K10250 K15397 K10245 K10246 K10251 K10703 K10258
M00416	Cytochrome aa3-600 menaquinol oxidase	K02827 K02826 K02828 K02829
M00417	Cytochrome o ubiquinol oxidase	K02297 K02298 K02299 K02300
M00418	Toluene degradation, anaerobic, toluene => benzoyl-CoA	K07540 K07543 K07544 K07545 K07546 K07547 K07548 K07549 K07550
M00419	Cymene degradation, p-cymene => p-cumate	K10616 K18293 K10617 K10618
M00422	Acetyl-CoA pathway, CO2 => acetyl-CoA	K00192 K00195 K00193 K00197 K00194
M00432	Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate	K01649 K01702 K01703 K01704 K00052
M00433	Lysine biosynthesis, 2-oxoglutarate => 2-oxoadipate	K01655 K17450 K01705 K16792 K16793 K05824
M00525	Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine	K00928 K00133 K01714 K00215 K05822 K00841 K05823 K01778 K01586
M00526	Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine	K00928 K12524 K12525 K12526 K00133 K01714 K00215 K03340 K01586 K12526
M00527	Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine	K00928 K12524 K12525 K12526 K00133 K01714 K00215 K10206 K01778 K01586 K12526
M00528	Nitrification, ammonia => nitrite	K10944 K10945 K10946 K10535
M00529	Denitrification, nitrate => nitrogen	K00370 K00371 K00374 K02567 K02568 K00368 K15864 K04561 K02305 K00376
M00530	Dissimilatory nitrate reduction, nitrate => ammonia	K00370 K00371 K00374 K02567 K02568 K00362 K00363 K03385 K15876
M00531	Assimilatory nitrate reduction, nitrate => ammonia	K00367 K10534 K00372 K00360 K00366 K17877
M00532	Photorespiration	K01601 K01602 K19269 K11517 K03781 K14272 K00600 K00830 K15893 K15919 K15918 K00281 K00605 K00382 K02437
M00533	Homoprotocatechuate degradation, homoprotocatechuate => 2-oxohept-3-enedioate	K00455 K00151 K01826 K05921
M00534	Naphthalene degradation, naphthalene => salicylate	K14579 K14580 K14578 K14581 K14582 K14583 K14584 K14585 K00152
